timestamp, index, compute_mode, pstate, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu, power.draw [W]
2025/03/14 17:04:25.364, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.54 W
2025/03/14 17:04:27.368, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.49 W
2025/03/14 17:04:29.369, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.52 W
2025/03/14 17:04:31.369, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.49 W
2025/03/14 17:04:33.369, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.52 W
2025/03/14 17:04:35.369, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.50 W
2025/03/14 17:04:37.370, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.56 W
2025/03/14 17:04:39.370, 0, Default, P0, 0 %, 0 %, 1 MiB, 36, 70.58 W
2025/03/14 17:04:41.370, 0, Default, P0, 83 %, 60 %, 8373 MiB, 44, 297.12 W
2025/03/14 17:04:43.371, 0, Default, P0, 75 %, 65 %, 14285 MiB, 44, 361.82 W
2025/03/14 17:04:45.371, 0, Default, P0, 75 %, 62 %, 14285 MiB, 46, 370.45 W
2025/03/14 17:04:47.371, 0, Default, P0, 75 %, 62 %, 14285 MiB, 47, 375.28 W
2025/03/14 17:04:49.371, 0, Default, P0, 82 %, 72 %, 14285 MiB, 44, 374.89 W
2025/03/14 17:04:51.372, 0, Default, P0, 75 %, 64 %, 14285 MiB, 47, 368.47 W
2025/03/14 17:04:53.372, 0, Default, P0, 75 %, 64 %, 14285 MiB, 47, 376.22 W
2025/03/14 17:04:55.372, 0, Default, P0, 76 %, 64 %, 14285 MiB, 45, 375.92 W
2025/03/14 17:04:57.372, 0, Default, P0, 75 %, 64 %, 14285 MiB, 46, 378.24 W
2025/03/14 17:04:59.373, 0, Default, P0, 76 %, 66 %, 14285 MiB, 47, 370.69 W
2025/03/14 17:05:01.373, 0, Default, P0, 76 %, 63 %, 14285 MiB, 46, 375.51 W
2025/03/14 17:05:03.373, 0, Default, P0, 72 %, 63 %, 14285 MiB, 47, 362.38 W
2025/03/14 17:05:05.373, 0, Default, P0, 72 %, 63 %, 14285 MiB, 47, 365.35 W
2025/03/14 17:05:07.374, 0, Default, P0, 76 %, 66 %, 14285 MiB, 45, 372.52 W
2025/03/14 17:05:09.374, 0, Default, P0, 75 %, 66 %, 14285 MiB, 47, 370.52 W
2025/03/14 17:05:11.374, 0, Default, P0, 88 %, 76 %, 14285 MiB, 46, 371.96 W
2025/03/14 17:05:13.374, 0, Default, P0, 66 %, 54 %, 14285 MiB, 47, 370.60 W
2025/03/14 17:05:15.375, 0, Default, P0, 75 %, 63 %, 14285 MiB, 48, 379.04 W
2025/03/14 17:05:17.375, 0, Default, P0, 76 %, 64 %, 14285 MiB, 47, 377.45 W
2025/03/14 17:05:19.375, 0, Default, P0, 87 %, 75 %, 14285 MiB, 45, 376.20 W
2025/03/14 17:05:21.376, 0, Default, P0, 78 %, 69 %, 14285 MiB, 46, 374.06 W
2025/03/14 17:05:23.376, 0, Default, P0, 76 %, 66 %, 14285 MiB, 48, 377.58 W
2025/03/14 17:05:25.376, 0, Default, P0, 75 %, 63 %, 14285 MiB, 47, 377.58 W
2025/03/14 17:05:27.376, 0, Default, P0, 3 %, 0 %, 4343 MiB, 43, 205.97 W
2025/03/14 17:05:29.377, 0, Default, P0, 7 %, 3 %, 4343 MiB, 42, 195.43 W
2025/03/14 17:05:31.377, 0, Default, P0, 29 %, 24 %, 4343 MiB, 43, 196.64 W
2025/03/14 17:05:33.377, 0, Default, P0, 29 %, 24 %, 4343 MiB, 40, 193.14 W
2025/03/14 17:05:35.378, 0, Default, P0, 22 %, 21 %, 4343 MiB, 42, 191.03 W
2025/03/14 17:05:37.378, 0, Default, P0, 79 %, 70 %, 14275 MiB, 45, 329.46 W
2025/03/14 17:05:39.378, 0, Default, P0, 48 %, 40 %, 14275 MiB, 47, 361.13 W
2025/03/14 17:05:41.378, 0, Default, P0, 87 %, 75 %, 14275 MiB, 45, 348.38 W
2025/03/14 17:05:43.379, 0, Default, P0, 73 %, 61 %, 14275 MiB, 47, 358.20 W
2025/03/14 17:05:45.379, 0, Default, P0, 74 %, 65 %, 14275 MiB, 46, 360.41 W
2025/03/14 17:05:47.379, 0, Default, P0, 81 %, 71 %, 14275 MiB, 45, 369.74 W
2025/03/14 17:05:49.379, 0, Default, P0, 69 %, 58 %, 14275 MiB, 47, 359.79 W
2025/03/14 17:05:51.380, 0, Default, P0, 74 %, 65 %, 14275 MiB, 47, 364.98 W
2025/03/14 17:05:53.380, 0, Default, P0, 88 %, 76 %, 14275 MiB, 46, 371.50 W
2025/03/14 17:05:55.380, 0, Default, P0, 82 %, 74 %, 14275 MiB, 45, 369.87 W
2025/03/14 17:05:57.380, 0, Default, P0, 70 %, 58 %, 14275 MiB, 47, 362.54 W
2025/03/14 17:05:59.381, 0, Default, P0, 68 %, 59 %, 14275 MiB, 48, 366.11 W
2025/03/14 17:06:01.381, 0, Default, P0, 71 %, 59 %, 14275 MiB, 46, 362.76 W
2025/03/14 17:06:03.381, 0, Default, P0, 83 %, 72 %, 14275 MiB, 47, 361.15 W
2025/03/14 17:06:05.382, 0, Default, P0, 69 %, 59 %, 14275 MiB, 48, 358.40 W
2025/03/14 17:06:07.383, 0, Default, P0, 81 %, 72 %, 14275 MiB, 46, 364.81 W
2025/03/14 17:06:09.383, 0, Default, P0, 80 %, 70 %, 14275 MiB, 45, 357.13 W
2025/03/14 17:06:11.384, 0, Default, P0, 66 %, 58 %, 14275 MiB, 47, 358.65 W
2025/03/14 17:06:13.384, 0, Default, P0, 87 %, 75 %, 14275 MiB, 45, 372.16 W
2025/03/14 17:06:15.384, 0, Default, P0, 83 %, 73 %, 14275 MiB, 46, 373.35 W
2025/03/14 17:06:17.384, 0, Default, P0, 87 %, 75 %, 14275 MiB, 45, 360.90 W
2025/03/14 17:06:19.385, 0, Default, P0, 79 %, 69 %, 14275 MiB, 47, 358.68 W
2025/03/14 17:06:21.385, 0, Default, P0, 67 %, 56 %, 14275 MiB, 48, 361.85 W
2025/03/14 17:06:23.385, 0, Default, P0, 0 %, 0 %, 14275 MiB, 43, 321.11 W
2025/03/14 17:06:25.385, 0, Default, P0, 29 %, 25 %, 14275 MiB, 42, 203.90 W
2025/03/14 17:06:27.386, 0, Default, P0, 0 %, 0 %, 14275 MiB, 43, 196.44 W
2025/03/14 17:06:29.386, 0, Default, P0, 29 %, 25 %, 14275 MiB, 41, 204.32 W
2025/03/14 17:06:31.386, 0, Default, P0, 29 %, 24 %, 14275 MiB, 41, 207.65 W
